Name,GroupCategory,GroupScope,Path
Users-Comtech-All,Security,Global,"OU=Users Comtech,DC=elysium,DC=local"
Users-VDL-ALL,Security,Global,"OU=Users VDL,DC=elysium,DC=local"
VDL-Admins-All,Security,Global,"OU=VDL Administrators,OU=Users VDL,DC=elysium,DC=local"
VDL-Techs-All,Security,Global,"OU=VDL Technicians,OU=Users VDL,DC=elysium,DC=local"
PSAP-ALL,Security,Global,"OU=PSAPs,DC=elysium,DC=local"
PSAP-CDR-ALL,Security,Global,"OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
PSAP-CPR-ALL,Security,Global,"OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Computers-CDR-All,Security,Global,"OU=Computers-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
Computers-CPR-All,Security,Global,"OU=Computers-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Supervisor-Computers-CDR-All,Security,Global,"OU=Supervisor-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
Supervisor-Computers-CPR-All,Security,Global,"OU=Supervisor-Computers-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Mobile-PSAP-CDR-All,Security,Global,"OU=Computers-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
Mobile-PSAP-CPR-All,Security,Global,"OU=Computers-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Users-CDR-All,Security,Global,"OU=Users-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
Users-CPR-All,Security,Global,"OU=Users-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Supervisor-Users-CDR-All,Security,Global,"OU=Supervisor-Users-PSAP-CDR,OU=Users-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local"
Supervisor-Users-CPR-All,Security,Global,"OU=Supervisor-Users-PSAP-CPR,OU=Users-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local"
Managed-Services-All,Security,Global,"OU=Managed Services Accounts,DC=elysium,DC=local"
Datacenter-All,Security,Global,"OU=Datacenters,DC=elysium,DC=local"
Core-A-3PL-All,Security,Global,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
Core-B-QG-All,Security,Global,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
Administration-CoreA-3PL-All,Security,Global,"OU=Administration,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
Administration-CoreB-QG-All,Security,Global,"OU=Administration,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
Application-CoreA-3PL-All,Security,Global,"OU=Application,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
Application-CoreB-QG-All,Security,Global,"OU=Application,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
CentOS-CoreA-3PL-All,Security,Global,"OU=CentOS,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
CentOS-CoreB-QG-All,Security,Global,"OU=CentOS,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
ESXI-CoreA-3PL-All,Security,Global,"OU=ESXI,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
ESXI-CoreB-QG-All,Security,Global,"OU=ESXI,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
WSUS-CoreA-3PL-All,Security,Global,"OU=WSUS,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
WSUS-CoreB-QG-All,Security,Global,"OU=WSUS,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
MIS-CoreA-3PL-All,Security,Global,"OU=MIS,OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local"
MIS-CoreB-QG-All,Security,Global,"OU=MIS,OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local"
